Date,Time,Currency,Event,Impact,Actual,Forecast,Previous,Combined DateTime
2014-01-01,All Day,CHF,Bank Holiday,Low,,,,2014-01-01 00:00:00
2014-01-01,All Day,EUR,Italian Bank Holiday,Low,,,,2014-01-01 00:00:00
2014-01-01,All Day,EUR,German Bank Holiday,Low,,,,2014-01-01 00:00:00
2014-01-01,All Day,EUR,French Bank Holiday,Low,,,,2014-01-01 00:00:00
2014-01-01,All Day,GBP,Bank Holiday,Low,,,,2014-01-01 00:00:00
2014-01-01,All Day,CAD,Bank Holiday,Low,,,,2014-01-01 00:00:00
2014-01-01,All Day,USD,Bank Holiday,Low,,,,2014-01-01 00:00:00
2014-01-01,All Day,NZD,Bank Holiday,Low,,,,2014-01-01 00:00:00
2014-01-01,5:10pm,AUD,AIG Manufacturing Index,Non-economic,47.6,,47.7,2014-01-01 17:10:00
2014-01-01,All Day,JPY,Bank Holiday,Low,,,,2014-01-01 00:00:00
2014-01-01,All Day,CNY,Bank Holiday,Low,,,,2014-01-01 00:00:00
2014-01-01,8:45pm,CNY,RatingDog Manufacturing PMI,Medium,50.5,50.5,50.5,2014-01-01 20:45:00
2014-01-02,12:30am,AUD,Commodity Prices y/y,Non-economic,-4.0%,,-2.8%,2014-01-02 00:30:00
2014-01-02,All Day,CHF,Bank Holiday,Low,,,,2014-01-02 00:00:00
2014-01-02,3:15am,EUR,Spanish Manufacturing PMI,Medium,50.8,49.9,48.6,2014-01-02 03:15:00
2014-01-02,3:45am,EUR,Italian Manufacturing PMI,Medium,53.3,51.8,51.4,2014-01-02 03:45:00
2014-01-02,3:50am,EUR,French Final Manufacturing PMI,Non-economic,47.0,47.1,47.1,2014-01-02 03:50:00
2014-01-02,3:55am,EUR,German Final Manufacturing PMI,Non-economic,54.3,54.2,54.2,2014-01-02 03:55:00
2014-01-02,4:00am,EUR,Final Manufacturing PMI,Non-economic,52.7,52.7,52.7,2014-01-02 04:00:00
2014-01-02,4:30am,GBP,Final Manufacturing PMI,High,57.3,58.3,58.1,2014-01-02 04:30:00
2014-01-02,8:30am,USD,Unemployment Claims,High,339K,334K,341K,2014-01-02 08:30:00
2014-01-02,9:00am,USD,Final Manufacturing PMI,Non-economic,55.0,54.4,54.4,2014-01-02 09:00:00
2014-01-02,9:30am,CAD,Manufacturing PMI,Non-economic,53.5,,55.3,2014-01-02 09:30:00
2014-01-02,10:00am,USD,ISM Manufacturing PMI,High,57.0,56.8,57.3,2014-01-02 10:00:00
2014-01-02,10:00am,USD,Construction Spending m/m,Non-economic,1.0%,0.7%,0.9%,2014-01-02 10:00:00
2014-01-02,10:00am,USD,ISM Manufacturing Prices,Non-economic,53.5,53.0,52.5,2014-01-02 10:00:00
2014-01-02,All Day,JPY,Bank Holiday,Low,,,,2014-01-02 00:00:00
2014-01-02,8:00pm,CNY,Non-Manufacturing PMI,Medium,54.6,,56.0,2014-01-02 20:00:00
2014-01-03,2:00am,GBP,Nationwide HPI m/m,Medium,1.4%,0.8%,0.7%,2014-01-03 02:00:00
2014-01-03,3:00am,CHF,KOF Economic Barometer,Medium,1.95,1.92,1.85,2014-01-03 03:00:00
2014-01-03,3:00am,EUR,Spanish Flash CPI y/y,Medium,0.2%,0.2%,0.2%,2014-01-03 03:00:00
2014-01-03,3:00am,EUR,Spanish Unemployment Change,Medium,-107.6K,24.3K,-2.5K,2014-01-03 03:00:00
2014-01-03,3:30am,CHF,Manufacturing PMI,Medium,53.9,56.4,56.5,2014-01-03 03:30:00
2014-01-03,4:00am,EUR,M3 Money Supply y/y,Medium,1.5%,1.5%,1.4%,2014-01-03 04:00:00
2014-01-03,4:00am,EUR,Private Loans y/y,Non-economic,-2.3%,-1.9%,-2.2%,2014-01-03 04:00:00
2014-01-03,4:30am,GBP,Construction PMI,High,62.1,62.3,62.6,2014-01-03 04:30:00
2014-01-03,4:30am,GBP,Net Lending to Individuals m/m,Medium,1.5B,2.0B,1.6B,2014-01-03 04:30:00
2014-01-03,4:30am,GBP,M4 Money Supply m/m,Non-economic,0.0%,0.3%,0.1%,2014-01-03 04:30:00
2014-01-03,4:30am,GBP,Mortgage Approvals,Non-economic,71K,70K,68K,2014-01-03 04:30:00
2014-01-03,5:00am,EUR,Italian Prelim CPI m/m,Non-economic,0.2%,0.3%,-0.3%,2014-01-03 05:00:00
2014-01-03,10:30am,USD,Natural Gas Storage,Non-economic,-97B,-125B,-177B,2014-01-03 10:30:00
2014-01-03,11:00am,USD,Crude Oil Inventories,Medium,-7.0M,-2.3M,-4.7M,2014-01-03 11:00:00
2014-01-03,All Day,USD,Total Vehicle Sales,Non-economic,15.4M,16.0M,16.4M,2014-01-03 00:00:00
2014-01-03,12:45pm,USD,FOMC Member Plosser Speaks,Medium,,,,2014-01-03 12:45:00
2014-01-03,1:15pm,USD,FOMC Member Stein Speaks,Medium,,,,2014-01-03 13:15:00
2014-01-03,2:30pm,USD,Fed Chairman Bernanke Speaks,High,,,,2014-01-03 14:30:00
2014-01-04,10:15am,USD,FOMC Member Dudley Speaks,Medium,,,,2014-01-04 10:15:00
2014-01-04,5:00pm,USD,FOMC Member Plosser Speaks,Medium,,,,2014-01-04 17:00:00
2014-01-05,5:16pm,AUD,AIG Services Index,Non-economic,46.1,,48.9,2014-01-05 17:16:00
2014-01-05,8:45pm,CNY,RatingDog Services PMI,Medium,50.9,,52.5,2014-01-05 20:45:00
2014-01-06,All Day,EUR,Italian Bank Holiday,Low,,,,2014-01-06 00:00:00
2014-01-06,All Day,EUR,German Prelim CPI m/m,Medium,0.4%,0.4%,0.2%,2014-01-06 00:00:00
